date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:05:28	391109/391109	---M--	200	added ('OK')	image/jpeg	etag:%225f7c5-5bc40f657d69d%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-de8307241cbb9d807d63b2ff86c7ec41_farkbilisim.com_1250X703--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-de8307241cbb9d807d63b2ff86c7ec41_farkbilisim.com_1250X703--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:05:33	359549/359549	---M--	200	added ('OK')	image/jpeg	etag:%2257c7d-5bc40f65fe135%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-dbadabd08581069f7fb29d5dd7b65846_farkbilisim.com_1250X703--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-dbadabd08581069f7fb29d5dd7b65846_farkbilisim.com_1250X703--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:05:40	328866/328866	---M--	200	added ('OK')	image/jpeg	etag:%22504a2-5bc40f6453515%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-78110a6744f02109280da2d37dd0d990_farkbilisim.com_1250X703--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-78110a6744f02109280da2d37dd0d990_farkbilisim.com_1250X703--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:05:56	329566/329566	---M--	200	added ('OK')	image/jpeg	etag:%225075e-5bc40f64de3bd%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-21ee37885b0465fcd02ba9701ea95f9c_farkbilisim.com_1250X703--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-21ee37885b0465fcd02ba9701ea95f9c_farkbilisim.com_1250X703--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:06:45	407766/407766	---M--	200	added ('OK')	image/jpeg	etag:%22638d6-5bc40f658bd15%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-a470306e4b87f718880d1d2d61a7f75e_farkbilisim.com_884X1250--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-a470306e4b87f718880d1d2d61a7f75e_farkbilisim.com_884X1250--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:06:45	422719/422719	---M--	200	added ('OK')	image/jpeg	etag:%226733f-5bc40f64befbd%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-3cb73b4481e926653ab5e1f250c44854_farkbilisim.com_884X1250--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-3cb73b4481e926653ab5e1f250c44854_farkbilisim.com_884X1250--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:06:52	422902/422902	---M--	200	added ('OK')	image/jpeg	etag:%22673f6-5bc40f6615835%22	http://citylinegroup.com.tr/sayfa/resim_cache/141-09ed17c3cc24de4d25ebc032d14f8844_farkbilisim.com_884X1250--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/141-09ed17c3cc24de4d25ebc032d14f8844_farkbilisim.com_884X1250--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_marina.html)
01:06:58	363034/363034	---M--	200	added ('OK')	image/jpeg	etag:%2258a1a-5ad9cd72b17a2%22	http://citylinegroup.com.tr/sayfa/resim/311-31cf6b452e0afd2e837e21e6a265099a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim/311-31cf6b452e0afd2e837e21e6a265099a.jpg	(from http://citylinegroup.com.tr/ru/city_office.html)
01:07:37	281129/281129	---M--	200	added ('OK')	image/jpeg	etag:%2244a29-5bc3ebfc74f9e%22	http://citylinegroup.com.tr/sayfa/resim_cache/311-4b67957e752488c7fdfa6ce3de88b458_farkbilisim.com_1250X703--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/311-4b67957e752488c7fdfa6ce3de88b458_farkbilisim.com_1250X703--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_office.html)
01:08:03	399311/399311	---M--	200	added ('OK')	image/jpeg	etag:%22617cf-5bc437e72ffdc%22	http://citylinegroup.com.tr/sayfa/resim_cache/311-eb35141f3e23282f08288b7b598ac620_farkbilisim.com_1250X703--a--a.jpeg	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/resim_cache/311-eb35141f3e23282f08288b7b598ac620_farkbilisim.com_1250X703--a--a.jpg	(from http://citylinegroup.com.tr/ru/city_office.html)
